総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,5,49,1,em-11f22e87203d,骨喰　花蟲,fire,MZR,60,2300,5708,4,死亡している火属性の味方全員を60%のHPで蘇らせる,advantage_creation,4,0.875,0.63,1,1,1,0.3773,1,0.4609,1.75,0,0.92,0.018035
2,90,50,5,em-7b2daf42204c,モモトじゃねーの?,fire,CR,14,1400,1600,3,自身のHPを60%回復する,advantage_creation,4,0.875,0.63,1,1,1,0.372,1,0.4379,0.5,0,0.9899,0.013524
3,172,51,8,em-1a3ab3b1acf7,聖☆いんてぃないか,fire_water,CR,19,2817,2334,4,3ターンの間、自身の攻撃が全体攻撃になる,counteraction,4,0.875,0.63,0,1,1,0.3734,1,0.4311,0,0,0.9898,0.012678
4,173,52,9,em-93a9275d427c,肉食ドゥブロさん,fire_water,ZR,32,5106,3404,3,3ターンの間、火属性の敵に対する味方全員の攻撃力を100%増加させる,counteraction,4,0.875,0.63,1,1,1,0.3392,1,0.4188,0,0,0.9694,0.012165
5,58,53,6,em-e42e99273751,輪島のうるっしー,fire,CR,12,1200,500,4,1ターンの間、攻撃を自身に集中させる(70%カット),advantage_creation,4,0.875,0.63,1,1,1,0.3235,1,0.41,0.75,0,0.9897,0.013275
6,59,54,7,em-b09ebd864da6,みずがめəろまちゃん,water,N,14,1057,1198,4,死亡している水属性の味方全員を20%のHPで蘇らせる,advantage_creation,4,0.875,0.63,1,1,1,0.3144,1,0.3843,0.75,0,0.9999,0.013032
7,2,55,2,em-6c2ea8631e0d,深海美少年モヅルン,fire_water,MZR,37,5964,2385,3,2ターンの間、風属性の攻撃を自身に集中させる(85%カット),advantage_creation,4,0.875,0.63,0.75,1,1,0.3114,1,0.3831,2,0,0.9178,0.016593
8,174,56,10,em-7e9ffb70cffa,企業だ浅ちゃん！,fire,ZR,32,1192,7327,4,2ターンの間、自身の攻撃力を400%増加させる,counteraction,4,0.875,0.63,1,1,1,0.2864,1,0.3709,0,0,0.9686,0.010845
9,175,57,11,em-18a6642e277e,旧市街地の魔物,fire,N,8,2799,16,4,1ターンの間、自身の攻撃力を115000%増加させる,counteraction,4,0.875,0.63,1,1,1,0.2614,1,0.3458,0,0,0.9998,0.010829
10,18,58,4,em-83b1d87342f9,コン美なん吉先生,water,CR,20,882,3381,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,4,0.875,0.63,1,1,1,0.2626,1,0.3316,1.25,0,0.9892,0.014551
