総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,7,47,3,em-667dae45fa9f,怪童の金たろす,wind,MZR,52,6049,6049,2,3ターンの間、自身にダメージを50%軽減するシールドを与える,advantage_creation,72,0.5833,0.4772,1,1,1,0.118,0.9148,0.1644,0.6944,0,0.92,0.020866
2,4,48,2,em-4e2a71a8e1a6,ハチモドキアブ,water,ZR,55,5623,6100,2,死亡している水属性の味方全員を50%のHPで蘇らせる,advantage_creation,72,0.5625,0.4547,0.9861,1,1,0.1364,0.9076,0.1817,0.7361,0,0.9687,0.022095
3,15,49,5,em-6cd949ff7539,?????,fire_water,MZR,53,1842,6475,2,1ターンの間、攻撃を自身に集中させる(92%カット),advantage_creation,72,0.5347,0.4262,1,1,1,0.119,0.9143,0.1608,0.5,0,0.9153,0.019072
4,51,10,1,em-d138d4e46038,きぬたン,water_wind,ZR,48,3067,4771,2,8ターンの間、味方全員の攻撃力を18%増加させる,counteraction,72,0.5486,0.4422,1,1,1,0.1203,0.9096,0.1619,0,0.4583,0.966,0.025453
5,52,50,16,em-a16b37d47f95,ふわふわちゃんとママ,wind,MZR,60,6928,3520,3,風属性の味方全員のスキルカウントを2減少させる,ignored,72,0.5347,0.428,0,0.6389,1,0.1024,0.9027,0.1409,0,0,0.9106,0.01514
6,53,15,50,em-a06f040c9490,冬の加奈多パレード,water,伝,80,9542,5282,2,3ターンの間、自身の攻撃力を150%増加させる,counteraction,72,0.5208,0.4157,1,1,1,0.1036,0.9119,0.1432,0,0.4167,0.3904,0.009084
7,54,51,24,em-f47697209ae1,メルっ子☆メルルン,wind,MZR,60,4856,5538,2,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4792,0.3722,0,1,1,0.0868,0.8872,0.1215,0,0,0.9058,0.014178
8,20,52,15,em-438753e77e6c,デロスの月陽姉弟,fire_water,MZR,41,3237,5453,2,味方全員のHPを60%回復する,advantage_creation,72,0.5139,0.4026,1,1,1,0.1411,0.8984,0.1846,0.4722,0,0.9034,0.01548
9,5,53,7,em-454ebee4a0cd,3人はフォニピュア,all,MZR,60,4941,3578,2,1ターンの間、味方全員にダメージを60%軽減するシールドを与える,advantage_creation,72,0.5625,0.46,1,1,1,0.1277,0.9269,0.1683,0.7222,0,0.901,0.017738
10,55,54,32,em-3e7e7e54a83d,妖精女王ミカーンニア,fire,MZR,45,3408,4771,2,風属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4722,0.3662,0,1,1,0.0974,0.8963,0.1304,0,0,0.8986,0.013048
