総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,40,43,51,em-22f9d46fe6f4,ウサウサ八幡,water_wind,伝,88,10872,5964,6,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.6875,0.5937,0,0,1,0.1206,0.9689,0.1701,0,0,0.4,0.008571
2,5,44,43,em-9445cdb23342,ハビリスさん,wind,伝,94,10319,5207,0,自身のHPを56%回復する,advantage_creation,72,0.7222,0.6217,1,1,1,0.1278,0.9622,0.1825,0.7222,0,0.3981,0.009698
3,41,45,6,em-f47697209ae1,メルっ子☆メルルン,wind,MZR,60,4856,5538,2,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.6528,0.5527,0,0,1,0.0867,0.9661,0.1253,0,0,0.9153,0.01898
4,42,46,60,em-05c5072dc080,橘の元祖☆みっちー,water_wind,伝,75,9798,4515,4,味方全員のスキルカウントを2減少させる,ignored,72,0.6389,0.5323,0,0,1,0.0956,0.955,0.1395,0,0,0.3943,0.007705
5,43,47,13,em-70a9a07ea8d9,うさ☆八幡さま,water_wind,MZR,60,5964,5964,6,火属性の敵全員の攻撃カウントを3増加させる,ignored,72,0.5833,0.4772,0,0,1,0.0922,0.9567,0.1329,0,0,0.9106,0.01744
6,44,48,68,em-4a7831bec582,春の音連れ,wind,伝,66,10906,3748,6,味方全員のスキルカウントを4減少させる,ignored,72,0.6458,0.5443,0,0,1,0.1022,0.9583,0.1473,0,0,0.3904,0.007235
7,45,49,11,em-9a400a6535d5,ｸﾗﾌﾄｼﾞﾝｼﾞｬｰの妖精,wind,ZR,44,5054,5006,4,火属性の味方全員のスキルカウントを3減少させる,ignored,72,0.6042,0.4946,0,0,1,0.0883,0.9578,0.1288,0,0,0.9619,0.017498
8,46,50,15,em-760bb0daf1c9,ゲキ悪オヤジ(神),all,ZR,53,5112,5112,6,敵全員の攻撃カウントを3増加させる,ignored,72,0.5903,0.4835,0,0,1,0.0978,0.9522,0.1397,0,0,0.9606,0.017337
9,47,3,1,em-52f6158a170b,まろやかマロカ先輩,wind,MZR,55,7668,3919,0,1ターンの間、水属性の敵に対する味方全員の攻撃力を50%増加させる,counteraction,72,0.6597,0.5575,0.9444,1,1,0.1061,0.9556,0.152,0,0.5278,0.901,0.02514
10,48,51,21,em-3e2d46063b3e,なっとくん様,all,MZR,70,8026,4618,1,リーダーのスキルカウントを1減少させる,ignored,72,0.5833,0.4754,0,0,1,0.0856,0.9494,0.124,0,0,0.8986,0.014902
11,4,52,7,em-3de6064f1850,?????,wind,MZR,49,5623,4771,0,1ターンの間、攻撃をリーダーに集中させる(8%カット),advantage_creation,72,0.6042,0.4963,1,1,1,0.0933,0.9528,0.1353,0.8611,0,0.8961,0.018925
12,1,53,4,em-0784bb7beecf,ダリア・宮子・9,water_wind,MZR,42,4771,4089,0,味方全員のHPを25%回復する,advantage_creation,72,0.625,0.5193,1,1,1,0.0917,0.9528,0.1328,1.0556,0,0.8937,0.019273
13,49,54,26,em-682cda3863fb,脱力コンビあろま＆るる,all,MZR,48,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.5417,0.4324,0,0,1,0.0789,0.9461,0.1141,0,0,0.8912,0.014062
14,2,55,3,em-018ed1cdac9e,フユシャク,wind,ZR,28,3067,3408,0,味方全員のHPを30%回復する,advantage_creation,72,0.6319,0.5331,1,1,1,0.09,0.9656,0.1302,0.9167,0,0.9523,0.019605
15,16,56,17,em-d72497692e5c,バリ……トゥンク…王,fire_wind,MZR,41,1530,5279,0,1ターンの間、攻撃を自身に集中させる(50%カット),advantage_creation,72,0.5486,0.4387,1,1,1,0.0856,0.9489,0.1233,0.3889,0,0.8862,0.01555
16,19,57,20,em-ccfeb40e6439,更にThe★Youなリバ子,all,MZR,50,1509,5770,0,味方全員のHPを22%回復する,advantage_creation,72,0.5208,0.4104,1,1,1,0.0744,0.9439,0.1081,0.3333,0,0.8838,0.014931
17,50,21,9,em-eae2cf594e90,オオカマキリ,wind,ZR,32,2215,5521,0,1ターンの間、水属性の敵に対する自身の攻撃力を99%増加させる,counteraction,72,0.5556,0.4467,0.8611,1,1,0.08,0.9378,0.1163,0,0.1528,0.948,0.017661
18,51,58,34,em-a16b37d47f95,ふわふわちゃんとママ,wind,MZR,60,6928,3520,3,風属性の味方全員のスキルカウントを2減少させる,ignored,72,0.5556,0.4467,0,0,1,0.0917,0.9456,0.1314,0,0,0.8787,0.011893
19,52,59,29,em-7ef2a0d30bcc,ケレント・ヴァニ江,wind,ZR,26,3340,3510,6,水属性の敵全員の攻撃カウントを4増加させる,ignored,72,0.5556,0.445,0,0,1,0.0922,0.9406,0.1321,0,0,0.9451,0.012908
20,8,60,22,em-f2a813466bbe,The★Youなリバ子,all,MZR,50,5770,3113,0,自身のHPを77%回復する,advantage_creation,72,0.5903,0.4818,1,1,1,0.0883,0.9489,0.1291,0.6944,0,0.8736,0.014888
21,53,61,32,em-459f1ecad59a,電波姫☆いまりちゃん,wind,ZR,28,3919,4260,4,水属性の敵全員の攻撃カウントを2増加させる,ignored,72,0.5208,0.4121,0,0,1,0.065,0.9406,0.0955,0,0,0.9422,0.012414
22,54,62,36,em-f647c6633f95,爆誕！さくどん,wind,ZR,42,3408,4260,7,敵全員の攻撃カウントを3増加させる,ignored,72,0.5208,0.4104,0,0,1,0.0628,0.9372,0.0931,0,0,0.9408,0.011642
23,55,5,2,em-c1bbe00e5d61,ジョンは時を知らない,all,ZR,48,4771,3493,0,7ターンの間、自身の攻撃力を16%増加させる,counteraction,72,0.5556,0.445,1,1,1,0.09,0.9411,0.1299,0,0.4583,0.9393,0.022234
24,7,63,27,em-2a823144560b,パンのん☆春間,all,MZR,56,3919,3408,0,1ターンの間、味方全員に風属性の敵からのダメージを20%軽減するシールドを与える,advantage_creation,72,0.5556,0.4484,1,1,1,0.08,0.9356,0.1156,0.7083,0,0.8633,0.013982
25,56,64,40,em-93778a059b28,mʌんでー＆nuーん,wind,CR,17,2898,2898,3,水属性の敵全員のカウントを1増加させる,ignored,72,0.5347,0.428,0,0,1,0.0667,0.9328,0.0983,0,0,0.9756,0.01113
