総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,1,39,1,em-4e2a71a8e1a6,ハチモドキアブ,water,ZR,55,5623,6100,2,死亡している水属性の味方全員を50%のHPで蘇らせる,advantage_creation,72,0.7014,0.6013,1,1,1,0.199,0.9552,0.2639,1.6667,0,0.97,0.02313
2,6,40,6,em-6cd949ff7539,?????,fire_water,MZR,53,1842,6475,2,1ターンの間、攻撃を自身に集中させる(92%カット),advantage_creation,72,0.5069,0.3982,1,1,1,0.1144,0.892,0.1548,0.7222,0,0.9177,0.020584
3,61,12,5,em-09a7a163b0cd,沼南ぱモーセ,water,MZR,38,2556,5623,2,1ターンの間、水属性の味方全員の攻撃力を100%増加させる,counteraction,72,0.5208,0.4139,1,1,1,0.1082,0.8952,0.1482,0,0.3472,0.9153,0.020783
4,62,15,55,em-a06f040c9490,冬の加奈多パレード,water,伝,80,9542,5282,2,3ターンの間、自身の攻撃力を150%増加させる,counteraction,72,0.5208,0.4157,1,1,1,0.0992,0.894,0.136,0,0.3194,0.3943,0.008797
5,16,41,62,em-9667a89799b5,冬の双子姫,all,伝,77,9628,4686,2,1ターンの間、味方全員にダメージを50%軽減するシールドを与える,advantage_creation,72,0.5347,0.428,1,1,1,0.109,0.9035,0.1515,0.5417,0,0.3924,0.007749
6,25,42,14,em-438753e77e6c,デロスの月陽姉弟,fire_water,MZR,41,3237,5453,2,味方全員のHPを60%回復する,advantage_creation,72,0.5139,0.4043,1,1,1,0.1128,0.879,0.1534,0.4306,0,0.9082,0.016532
7,63,43,18,em-814151a5ca65,登別ッキー,water,ZR,35,2556,6134,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.4444,0.3356,0,1,1,0.0902,0.8695,0.1245,0,0,0.9619,0.015078
8,50,29,19,em-1bcd64d199fb,ケロッとる☆キング,water,MZR,31,1533,5708,2,3ターンの間、自身の属性を風属性に変更する,adaptive,72,0.4931,0.3843,1,1,1,0.1113,0.8841,0.1515,0.1667,0.1806,0.9034,0.01493
9,64,44,25,em-fca49f3752f8,電波姫☆いまりちゃん,water,MZR,38,3919,4260,3,水属性の敵全員の攻撃カウントを1増加させる,ignored,72,0.4931,0.3792,0,0.5694,1,0.1123,0.8722,0.1559,0,0,0.901,0.013523
10,7,45,12,em-454ebee4a0cd,3人はフォニピュア,all,MZR,60,4941,3578,2,1ターンの間、味方全員にダメージを60%軽減するシールドを与える,advantage_creation,72,0.5486,0.4404,1,1,1,0.1461,0.9127,0.1935,0.7222,0,0.8986,0.017114
11,65,7,3,em-37e222cb9f2b,いんばーぬたん,water,MZR,53,3748,4771,2,2ターンの間、水属性の敵に対する水属性の味方全員の攻撃力を100%増加させる,counteraction,72,0.5,0.3903,0.9861,1,1,0.1156,0.8963,0.1574,0,0.4861,0.8961,0.021232
12,66,46,27,em-6262a008b5c9,脱力コンビあろま＆るる,water,ZR,38,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4375,0.3297,0,1,1,0.0902,0.8571,0.1245,0,0,0.9551,0.013398
13,15,47,15,em-95e1d74be5b6,Ｈ・Ｆ・ウーマン,water,ZR,47,6305,3748,2,1ターンの間、攻撃を自身に集中させる(70%カット),advantage_creation,72,0.5278,0.4218,1,1,1,0.1153,0.8962,0.1544,0.5694,0,0.9537,0.016226
14,67,11,8,em-d138d4e46038,きぬたン,water_wind,ZR,48,3067,4771,2,8ターンの間、味方全員の攻撃力を18%増加させる,counteraction,72,0.4861,0.3765,1,1,1,0.1059,0.9044,0.1459,0,0.3611,0.9523,0.020108
15,13,2,2,em-7419b64dec0e,天の飛龍巻,all,MZR,42,5623,3748,2,1ターンの間、味方全員の属性を風属性に変更する,adaptive,72,0.5278,0.4183,0.9861,1,1,0.1307,0.9045,0.1772,0.5833,0.8056,0.8862,0.022632
16,68,48,35,em-682cda3863fb,脱力コンビあろま＆るる,all,MZR,48,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4236,0.3163,0,1,1,0.0815,0.8595,0.113,0,0,0.8838,0.011347
17,23,49,22,em-47c29240fd33,大晦日のネギそば給仕少女,water_wind,MZR,40,3834,3834,2,2ターンの間、攻撃を自身に集中させる(60%カット),advantage_creation,72,0.5,0.3886,1,1,1,0.1213,0.8894,0.1646,0.4583,0,0.8812,0.014392
18,24,50,23,em-b8168a7a90ca,大杉に願いを☆ミ,water_wind,ZR,39,5129,3067,2,1ターンの間、水属性の攻撃を自身に集中させる(77%カット),advantage_creation,72,0.5278,0.4166,1,1,1,0.1194,0.8961,0.1648,0.4583,0,0.9466,0.014369
19,45,51,34,em-7a58e59098c4,森神ブーナッド,water,MZR,36,4941,3408,2,風属性の味方全員のHPを120%回復する,advantage_creation,72,0.5694,0.4593,0.8056,1,1,0.1188,0.9015,0.1649,0.2361,0,0.8762,0.011496
