総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,2,42,1,em-eec45136fb23,鋼の肝臓を持つ童子,wind,MZR,60,1704,7497,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,72,0.5625,0.4582,1,1,1,0.2479,0.8921,0.2852,0.7361,0,0.92,0.022139
2,12,43,54,em-ef36b9b34984,外道丸☆酒呑童子,wind,伝,88,8179,7668,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,72,0.5208,0.4212,1,1,1,0.1886,0.8944,0.219,0.5,0,0.3981,0.008836
3,57,13,2,em-623023f3cb8c,嫁劇！くーにゃん,wind,MZR,50,2556,6816,4,2ターンの間、風属性の味方全員の攻撃力を160%増加させる,counteraction,72,0.4722,0.3717,1,1,1,0.1596,0.8336,0.1917,0,0.2361,0.9153,0.020758
4,31,44,5,em-28a4ccf4cbfc,ステンバーイちび蔵,fire_water,ZR,24,596,3748,4,死亡している水属性の味方全員を30%のHPで蘇らせる,advantage_creation,72,0.5278,0.4273,1,1,1,0.1974,0.8506,0.2271,0.3194,0,0.966,0.01912
5,26,45,7,em-9898cb7ba23e,富士さんは魔女,wind,MZR,45,5112,4260,4,死亡している風属性の味方全員を10%のHPで蘇らせる,advantage_creation,72,0.5069,0.4017,0.9583,1,1,0.2112,0.8416,0.2481,0.3472,0,0.9106,0.017072
6,20,46,4,em-7f4209b23c36,狐狗狸コックス,wind,CR,15,805,4025,4,死亡している風属性の味方全員を1%のHPで蘇らせる,advantage_creation,72,0.4931,0.3971,1,1,1,0.1673,0.8711,0.1968,0.4028,0,0.9871,0.019643
7,58,9,57,em-4c03ad40dce9,源のゴライコー,all,伝,75,7923,6390,4,3ターンの間、自身の攻撃力を500%増加させる,counteraction,72,0.4375,0.3332,1,1,1,0.1498,0.8137,0.1844,0,0.2917,0.3885,0.008645
8,18,47,11,em-b5e0f2fbff78,養老のバッカス,water,MZR,65,6475,3408,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,72,0.5,0.4012,0.9722,1,1,0.2221,0.8704,0.24,0.4167,0,0.9034,0.016676
9,27,48,9,em-f49b19428b58,ちび丸のハロウィン,fire_water,CR,17,255,2896,4,死亡している水属性の味方全員を30%のHPで蘇らせる,advantage_creation,72,0.5,0.3956,1,1,1,0.1863,0.8556,0.2226,0.3472,0,0.9854,0.01696
10,8,49,70,em-c25db2f5b4ff,メルヘン☆グリ子,fire_wind,伝,80,9202,3748,4,1ターンの間、味方全員にダメージを80%軽減するシールドを与える,advantage_creation,72,0.4722,0.3611,1,1,1,0.2088,0.8026,0.25,0.5417,0,0.3826,0.006998
