総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,4,41,2,em-6cd949ff7539,?????,fire_water,MZR,53,1842,6475,2,1ターンの間、攻撃を自身に集中させる(92%カット),advantage_creation,72,0.5694,0.4682,1,1,1,0.0808,0.9501,0.115,0.8194,0,0.92,0.021364
2,12,42,4,em-667dae45fa9f,怪童の金たろす,wind,MZR,52,6049,6049,2,3ターンの間、自身にダメージを50%軽減するシールドを与える,advantage_creation,72,0.5486,0.4439,1,1,1,0.0811,0.9432,0.1163,0.5556,0,0.9177,0.020382
3,64,43,15,em-6262a008b5c9,脱力コンビあろま＆るる,water,ZR,38,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4931,0.4032,0,1,1,0.0548,0.9613,0.0781,0,0,0.9673,0.016444
4,65,44,18,em-814151a5ca65,登別ッキー,water,ZR,35,2556,6134,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.4722,0.3662,0,1,1,0.071,0.9224,0.1016,0,0,0.966,0.015957
5,33,11,1,em-cf2619ce2878,俺っち氷河,water,CR,28,3864,3222,2,1ターンの間、味方全員の属性を風属性に変更する,adaptive,72,0.5903,0.4889,1,1,1,0.0812,0.9397,0.1151,0.3056,0.2778,0.9877,0.02276
6,66,31,7,em-28c6b952551d,海の昇竜貫,water,ZR,33,4601,3408,2,3ターンの間、自身の攻撃力を110%増加させる,counteraction,72,0.5694,0.47,1,1,1,0.0774,0.9573,0.1117,0,0.1111,0.9633,0.018189
7,27,45,20,em-cb9a138787d0,摩陀羅　潮真,fire_water,MZR,27,7194,1741,2,1ターンの間、水属性の攻撃を自身に集中させる(80%カット),advantage_creation,72,0.6181,0.5164,1,1,1,0.093,0.9579,0.135,0.3611,0,0.9058,0.015536
8,3,46,9,em-7fa9f8e8ea8b,ガッサのお嬢,wind,MZR,16,2726,2556,2,死亡している水属性の味方全員を1%のHPで蘇らせる,advantage_creation,72,0.625,0.5247,0.9028,1,1,0.1127,0.9572,0.1598,0.8472,0,0.9034,0.017812
9,67,9,3,em-2d179e9f0835,ﾇｯと出る☆ウイス君,water,MZR,36,5354,2486,2,4ターンの間、リーダーの攻撃力を140%増加させる,counteraction,72,0.5694,0.4779,1,1,1,0.0776,0.9537,0.1104,0,0.2917,0.901,0.021261
10,68,47,27,em-d7aa913cd61c,チョーカーちゃん,wind,CR,18,805,3935,3,水属性の味方全員のスキルカウントを3減少させる,ignored,72,0.4931,0.3933,0,0.625,1,0.0707,0.9432,0.101,0,0,0.9848,0.014146
11,1,48,6,em-638abcb1284e,パレンケＶＲＳ,wind,ZR,49,5282,3386,2,1ターンの間、攻撃を自身に集中させる(75%カット),advantage_creation,72,0.5486,0.4457,1,1,1,0.1184,0.9396,0.161,0.9444,0,0.9564,0.018191
12,56,23,24,em-1bcd64d199fb,ケロッとる☆キング,water,MZR,31,1533,5708,2,3ターンの間、自身の属性を風属性に変更する,adaptive,72,0.4792,0.3758,1,1,1,0.0647,0.9329,0.0939,0.1389,0.1528,0.8937,0.01461
13,69,16,13,em-e442a06775e7,祭りだ☆富姫,wind,MZR,40,3067,5453,2,3ターンの間、風属性の敵に対する自身の攻撃力を133%増加させる,counteraction,72,0.4792,0.3814,0.9861,1,1,0.0528,0.9285,0.0774,0,0.25,0.8912,0.016707
14,42,10,11,em-7f58743c664e,ポリミタス☆おかいこ,fire_water,MZR,34,4771,3069,2,3ターンの間、自身の属性を風属性に変更する,adaptive,72,0.5556,0.4557,0.9722,1,1,0.0708,0.9455,0.1032,0.25,0.2917,0.8887,0.01738
15,17,49,19,em-95e1d74be5b6,Ｈ・Ｆ・ウーマン,water,ZR,47,6305,3748,2,1ターンの間、攻撃を自身に集中させる(70%カット),advantage_creation,72,0.5278,0.4273,1,1,1,0.0702,0.9548,0.1015,0.4306,0,0.9508,0.015859
16,70,50,35,em-74d3b0f1ac0c,ひみつのメルルン,wind,ZR,22,3067,3476,3,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4931,0.3914,0,0.5417,1,0.0643,0.9248,0.0938,0,0,0.9494,0.01193
17,31,51,25,em-ed21bd124ab2,牛タソ☆行進曲,fire_water,R,14,755,1812,2,2ターンの間、攻撃を自身に集中させる(30%カット,advantage_creation,72,0.5833,0.4864,1,1,1,0.0532,0.9537,0.0797,0.3194,0,0.9948,0.014579
18,71,12,16,em-bffb26ad3975,アイヌ☆らっくるん,fire_water,MZR,60,2896,6645,2,1ターンの間、風属性の敵に対する味方全員の攻撃力を170%増加させる,counteraction,72,0.4306,0.333,1,1,1,0.0548,0.9392,0.0785,0,0.2778,0.8787,0.016275
19,72,17,10,em-6c215846fcb0,アン・ごろう,fire_water,N,16,1356,1189,2,1ターンの間、風属性の敵に対する味方全員の攻撃力を230%増加させる,counteraction,72,0.5972,0.501,0.9861,1,1,0.0721,0.9643,0.1051,0,0.25,0.9964,0.017586
20,2,52,26,em-4eda1d55d2fb,ガッサと5人の小ｷﾉｺ,wind,MZR,60,5680,4089,2,死亡している水属性の味方全員を15%のHPで蘇らせる,advantage_creation,72,0.5347,0.428,0.9444,1,1,0.0937,0.929,0.1327,0.9306,0,0.8736,0.014493
21,73,14,12,em-361f82120d03,オイボくん,fire_wind,MZR,40,6645,2556,2,4ターンの間、自身の攻撃力を95%増加させる,counteraction,72,0.5417,0.4414,1,1,1,0.0824,0.9423,0.1158,0,0.2639,0.8711,0.016972
22,35,53,42,em-7a58e59098c4,森神ブーナッド,water,MZR,36,4941,3408,2,風属性の味方全員のHPを120%回復する,advantage_creation,72,0.5278,0.4291,0.9722,1,1,0.0582,0.9456,0.086,0.2917,0,0.8685,0.010688
23,18,54,37,em-454ebee4a0cd,3人はフォニピュア,all,MZR,60,4941,3578,2,1ターンの間、味方全員にダメージを60%軽減するシールドを与える,advantage_creation,72,0.5208,0.4157,1,1,1,0.0597,0.9288,0.0888,0.4028,0,0.8659,0.011599
24,74,24,21,em-663696ccf728,夏の一次幹,water,CR,22,3408,2215,2,3ターンの間、自身の攻撃力を80%増加させる,counteraction,72,0.5486,0.4439,1,1,1,0.072,0.9395,0.1052,0,0.1528,0.9762,0.015121
25,57,38,45,em-83954a93a691,閃きのヒラメちゃん,fire_water,MZR,60,6560,4430,2,4ターンの間、自身の属性を全属性(3色混合)に変更する,adaptive,72,0.4931,0.3914,0.9722,1,1,0.0611,0.9217,0.0897,0.1389,0.0417,0.8607,0.009878
26,7,55,23,em-4ea698949c11,侵略成功!?イカ翁,fire_water,N,20,1131,1272,2,死亡している風属性の味方全員を1%のHPで蘇らせる,advantage_creation,72,0.5972,0.4935,0.9722,1,1,0.0888,0.9575,0.1264,0.625,0,0.995,0.015092
27,28,56,88,em-9667a89799b5,冬の双子姫,all,伝,77,9628,4686,2,1ターンの間、味方全員にダメージを50%軽減するシールドを与える,advantage_creation,72,0.4792,0.3776,1,1,1,0.0549,0.9361,0.0804,0.3611,0,0.3476,0.004241
28,50,57,46,em-7b32a03e6e07,神降ろし！宮子様,wind,ZR,27,3578,3152,2,味方全員のHPを25%回復する,advantage_creation,72,0.5208,0.4175,1,1,1,0.0628,0.9288,0.0935,0.1806,0,0.9318,0.009737
29,62,34,36,em-78c90c30a11c,夜光虫ほたるん,water,R,14,2265,3020,2,1ターンの間、自身の属性を風属性に変更する,adaptive,72,0.5208,0.4193,0.9861,1,1,0.0773,0.9306,0.1101,0.0417,0.0833,0.9905,0.011756
30,75,2,68,em-a06f040c9490,冬の加奈多パレード,water,伝,80,9542,5282,2,3ターンの間、自身の攻撃力を150%増加させる,counteraction,72,0.4444,0.3409,1,1,1,0.0522,0.9212,0.0761,0,0.4306,0.3411,0.007042
31,29,58,43,em-fa3191833d67,エヴァン,fire_water,CR,28,3381,2776,2,1ターンの間、味方全員にダメージを50%軽減するシールドを与える,advantage_creation,72,0.5139,0.4132,1,1,1,0.0749,0.9452,0.1065,0.3333,0,0.9717,0.010394
32,76,3,5,em-d138d4e46038,きぬたン,water_wind,ZR,48,3067,4771,2,8ターンの間、味方全員の攻撃力を18%増加させる,counteraction,72,0.4514,0.3504,1,1,1,0.0513,0.9352,0.0747,0,0.375,0.9257,0.018383
33,32,25,29,em-501834a284b1,加賀友☆禅野さん,water_wind,ZR,38,4175,4771,2,4ターンの間、味方全員の属性を4属性に変更する,adaptive,72,0.5069,0.4091,0.7639,1,1,0.0546,0.9287,0.0804,0.3194,0.1528,0.9241,0.013889
34,77,20,33,em-dcc49aea103a,恐竜大好き竜也くん,wind,CR,18,2737,3059,2,1ターンの間、自身の攻撃力を200%増加させる,counteraction,72,0.4931,0.3971,1,1,1,0.0583,0.9317,0.085,0,0.1944,0.9697,0.012777
35,24,59,47,em-a7fc49aa8c73,広報担当：アッシュ,fire_water,ZR,37,5112,3748,2,1ターンの間、火属性の攻撃を自身に集中させる。(70%カット),advantage_creation,72,0.5139,0.4114,0.8056,1,1,0.0848,0.9398,0.1209,0.3889,0,0.921,0.009707
36,46,60,48,em-8de6e4494a60,称えよ☆メジェド様！,all,CR,25,2415,2415,2,1ターンの間、攻撃を自身に集中させる(80%カット),advantage_creation,72,0.5139,0.4078,1,1,1,0.0647,0.9329,0.0924,0.2083,0,0.9683,0.009682
37,78,61,65,em-cb7b4011b532,未確認土産菓子OTB,wind,ZR,36,3350,3302,3,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4375,0.3388,0,0.5,1,0.0547,0.9273,0.0785,0,0,0.9178,0.007265
38,43,7,22,em-b16382731bd5,華燭なカネヒラさん,water,MZR,60,5793,4771,2,4ターンの間、自身の属性を火属性に変更する,adaptive,72,0.4444,0.3446,0.9444,1,1,0.0538,0.9357,0.0772,0.25,0.3056,0.8252,0.015104
39,5,62,32,em-971ee3677529,ポディアさま,wind,CR,20,2254,1127,2,2ターンの間、水属性の攻撃を自身に集中させる(90%カット),advantage_creation,72,0.5347,0.4353,1,1,1,0.087,0.942,0.1221,0.75,0,0.9662,0.013361
