総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,48,56,9,em-814151a5ca65,登別ッキー,water,ZR,35,2556,6134,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.5208,0.4175,0,0.3194,1,0.1292,0.8847,0.1677,0,0,0.97,0.01704
2,49,14,1,em-06bad6d4123b,猿もの追い払いネキ,wind,ZR,31,2556,5367,1,2ターンの間、味方全員の攻撃力を20%増加させる,counteraction,72,0.5972,0.4935,1,1,1,0.1594,0.9155,0.2043,0,0.7778,0.9687,0.024197
3,50,57,11,em-e15fbf6ecd0c,シャーロック&エッジュ,fire_wind,ZR,41,4260,5112,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.5,0.3903,0,0.2361,1,0.1543,0.8879,0.1967,0,0,0.9673,0.016125
4,1,58,2,em-418076b2d218,イシマンガリソ先輩,water,ZR,42,5367,3067,1,1ターンの間、風属性の攻撃を自身に集中させる(80%カット),advantage_creation,72,0.6736,0.5689,0.9861,1,1,0.242,0.922,0.3073,2.4861,0,0.966,0.0211
5,51,39,6,em-e72fd59cfccf,フルーツ運ぶネキ,wind,CR,17,1007,3493,1,2ターンの間、味方全員の攻撃力を15%増加させる,counteraction,72,0.5972,0.4899,1,1,1,0.1971,0.9135,0.2538,0,0.3194,0.9877,0.017994
6,7,59,4,em-4016fa16a6ca,Dr.&萌やﾁﾝｹﾞｰﾙ,all,R,14,773,2573,1,味方全員のHPを40%回復する,advantage_creation,72,0.625,0.5211,1,1,1,0.2002,0.9113,0.2534,1.3056,0,0.9984,0.01907
7,5,60,59,em-d7873747b412,藤のフヒッティ,fire_water,伝,75,10735,3578,1,3ターンの間、自身にダメージを30%軽減するシールドを与える,advantage_creation,72,0.5903,0.4835,1,1,1,0.1955,0.9155,0.2475,1.3333,0,0.3885,0.008384
8,52,1,40,em-ceda64319ca1,蜜香のウミリンゴ,fire_water,伝,75,8520,5453,1,5ターンの間、風属性の敵に対する味方全員の攻撃力を25%増加させる,counteraction,72,0.5486,0.4439,1,1,1,0.1301,0.885,0.1707,0,1.3194,0.3865,0.011196
9,53,61,27,em-682cda3863fb,脱力コンビあろま＆るる,all,MZR,48,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4444,0.3373,0,0.1806,1,0.1125,0.8687,0.1468,0,0,0.901,0.013004
10,31,62,14,em-898fce321115,にゅー師匠,water,CR,22,1610,4186,1,1ターンの間、攻撃を自身に集中させる(70%カット),advantage_creation,72,0.5625,0.4564,1,1,1,0.1571,0.905,0.2018,0.7778,0,0.9848,0.015418
11,8,63,5,em-d07cd0c8b0b0,二条城☆浴衣モード,fire_water,CR,19,2656,2495,1,1ターンの間、風属性の攻撃を自身に集中させる。(80%カット),advantage_creation,72,0.6319,0.5276,0.9722,1,1,0.1608,0.9278,0.2133,1.2778,0,0.9842,0.018036
12,54,64,26,em-62cea78f14d3,ガラッパ,wind,CR,18,2078,3067,2,風属性の味方全員のスキルカウントを1減少させる,ignored,72,0.5,0.3956,0,0.3611,1,0.1281,0.9069,0.166,0,0,0.9836,0.013112
13,55,65,33,em-6262a008b5c9,脱力コンビあろま＆るる,water,ZR,38,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4236,0.3145,0,0.4167,1,0.1111,0.866,0.1478,0,0,0.9537,0.012434
14,10,66,20,em-ad53908276ac,ピコ島ぴーこ,fire_wind,MZR,47,4007,5112,1,風属性の味方全員のHPを42%回復する,advantage_creation,72,0.5278,0.42,1,1,1,0.148,0.8864,0.1921,1.2083,0,0.8887,0.014387
15,56,67,43,em-f47697209ae1,メルっ子☆メルルン,wind,MZR,60,4856,5538,2,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4167,0.307,0,0.0972,1,0.122,0.8322,0.16,0,0,0.8862,0.0109
