総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,12,36,1,em-45dad5139056,ベギン改・修道女,fire_wind,ZR,37,4565,4467,4,死亡している火属性の味方全員を20%のHPで蘇らせる,advantage_creation,72,0.5764,0.4782,1,1,1,0.2786,0.8968,0.3063,0.5417,0,0.97,0.023106
2,5,37,3,em-11f22e87203d,骨喰　花蟲,fire,MZR,60,2300,5708,4,死亡している火属性の味方全員を60%のHPで蘇らせる,advantage_creation,72,0.5417,0.4396,1,1,1,0.2319,0.8642,0.2632,0.6389,0,0.9177,0.021921
3,54,9,2,em-84d3175a9388,コン勝神☆くー様,fire,MZR,48,3809,7024,4,3ターンの間、火属性の味方全員の攻撃力を130%増加させる,counteraction,72,0.4653,0.3639,1,1,1,0.1616,0.8033,0.1957,0,0.1944,0.9153,0.022804
4,4,38,4,em-9372502bc6a4,餞のガブリン,fire,MZR,42,1913,5367,4,死亡している火属性の味方全員を40%のHPで蘇らせる,advantage_creation,72,0.4583,0.3508,1,1,1,0.2682,0.8473,0.2863,0.6528,0,0.9129,0.021121
5,13,39,9,em-c89260e1ef3b,曲芸師・ブンブク,fire,MZR,60,6305,2996,4,死亡している味方全員を10%のHPで蘇らせる,advantage_creation,72,0.5139,0.4132,1,1,1,0.2386,0.8555,0.2639,0.5417,0,0.9106,0.019706
6,55,22,5,em-e0dcffe4d5d0,大魔神！せいタン降臨,fire,ZR,44,2044,6305,4,3ターンの間、火属性の味方全員の攻撃力を80%増加させる,counteraction,72,0.4097,0.3122,1,1,1,0.1371,0.7927,0.1606,0,0.0972,0.9633,0.020468
7,7,40,6,em-e73e837049b5,ｿﾞﾝﾋﾞｶﾞｰﾙ･ガブリン,fire,ZR,28,1366,3834,4,死亡している火属性の味方全員を20%のHPで蘇らせる,advantage_creation,72,0.4514,0.3485,1,1,1,0.2515,0.8568,0.2702,0.5833,0,0.9619,0.020448
8,27,41,11,em-d25a7727f654,プラハ嬢,fire_water,MZR,32,1482,4991,4,2ターンの間、味方全員に火属性の敵からのダメージを75%軽減するシールドを与える,advantage_creation,72,0.4306,0.3293,1,1,1,0.1251,0.7853,0.1553,0.2639,0,0.9034,0.018395
9,9,42,12,em-a81a753351d9,戸定梨香,all,MZR,28,3216,3534,4,死亡している味方全員を7%のHPで蘇らせる,advantage_creation,72,0.4514,0.3467,1,1,1,0.2472,0.839,0.2664,0.5556,0,0.901,0.017869
10,56,20,65,em-4c03ad40dce9,源のゴライコー,all,伝,75,7923,6390,4,3ターンの間、自身の攻撃力を500%増加させる,counteraction,72,0.4028,0.3009,1,1,1,0.1329,0.7574,0.1616,0,0.1111,0.3826,0.007288
11,15,43,14,em-1ad78d7d3c2f,狐仮面,fire,MZR,22,2215,1789,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,72,0.4583,0.3619,1,1,1,0.2002,0.8773,0.2159,0.5,0,0.8961,0.016879
12,37,44,18,em-0e376d1892df,メネリくん一世,all,MZR,72,6134,3067,4,3ターンの間、攻撃を自身に集中させる(72%カット),advantage_creation,72,0.4514,0.3432,1,1,1,0.1712,0.7616,0.2054,0.1528,0,0.8937,0.014822
13,57,33,16,em-7941e8376c00,堕楽・ぴよボロス,fire,ZR,46,756,7572,4,5ターンの間、自身の攻撃力を120%増加させる,counteraction,72,0.3472,0.251,1,1,1,0.1232,0.7146,0.1446,0,0.0139,0.9537,0.015278
14,58,45,28,em-e394b3795363,伝説の少女キャンディ,fire_wind,MZR,50,5507,5507,7,味方全員のスキルカウントを5減少させる,ignored,72,0.3889,0.2896,0,0.0833,1,0.1314,0.7535,0.1576,0,0,0.8887,0.012728
15,59,6,8,em-dbd545e946e6,嫁劇！くーにゃん,fire,ZR,40,2556,6816,4,1ターンの間、火属性の味方全員の攻撃力を150%増加させる,counteraction,72,0.3542,0.2623,1,1,1,0.0881,0.7457,0.107,0,0.25,0.9508,0.019974
16,29,46,22,em-337e85c2cd90,ユーコ☆スターダスト,all,MZR,60,6053,4354,4,死亡している風属性の味方全員を40%のHPで蘇らせる,advantage_creation,72,0.4028,0.2972,1,1,1,0.1665,0.7938,0.1971,0.2361,0,0.8838,0.01369
17,30,47,26,em-832edc9513ca,Ｈ・Ｆ・ウーマン,fire,MZR,45,6305,3748,4,1ターンの間、攻撃を自身に集中させる(88%カット),advantage_creation,72,0.4236,0.3163,1,1,1,0.1638,0.7656,0.1983,0.2361,0,0.8812,0.013345
18,60,28,19,em-d295de1e4086,海の日シスターズ♪,fire_water,ZR,40,3823,4657,4,3ターンの間、水属性の味方全員の攻撃力を80%増加させる,counteraction,72,0.4028,0.2972,1,1,1,0.1647,0.7301,0.1936,0,0.0694,0.9466,0.014498
19,61,8,10,em-f119f767f457,アダム＆エバ,fire_water,ZR,50,5112,4260,4,2ターンの間、味方全員の攻撃力を100%増加させる,counteraction,72,0.4028,0.2972,1,1,1,0.1605,0.7599,0.1894,0,0.2361,0.9451,0.018658
20,17,48,15,em-549e080062a7,ぶんぶくん,fire,CR,22,1550,895,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,72,0.4653,0.3603,1,1,1,0.1927,0.8371,0.2213,0.4861,0,0.9787,0.015328
21,26,49,86,em-c25db2f5b4ff,メルヘン☆グリ子,fire_wind,伝,80,9202,3748,4,1ターンの間、味方全員にダメージを80%軽減するシールドを与える,advantage_creation,72,0.4028,0.2972,1,1,1,0.1806,0.7771,0.2145,0.2778,0,0.3603,0.005096
22,39,50,27,em-b8c4235090fa,バビるわバビル君。,fire,MZR,39,5367,3441,4,3ターンの間、味方全員にダメージを55%軽減するシールドを与える,advantage_creation,72,0.4097,0.3084,1,1,1,0.1147,0.7672,0.1413,0.125,0,0.8685,0.013078
23,23,51,25,em-28a4ccf4cbfc,ステンバーイちび蔵,fire_water,ZR,24,596,3748,4,死亡している水属性の味方全員を30%のHPで蘇らせる,advantage_creation,72,0.3889,0.2896,1,1,1,0.1756,0.8021,0.1957,0.3472,0,0.9393,0.013365
24,16,52,23,em-955edfecd83b,天晴！ぶんぶくん,fire,ZR,22,1883,1162,4,死亡している味方全員を1%のHPで蘇らせる,advantage_creation,72,0.4444,0.3409,1,1,1,0.1993,0.8148,0.2251,0.5,0,0.9378,0.013591
25,62,53,41,em-df40dba7c56a,高野さん,fire_water,ZR,34,4089,4089,5,風属性の味方全員のスキルカウントを4減少させる,ignored,72,0.3819,0.2803,0,0.7639,1,0.1111,0.7392,0.1377,0,0,0.9363,0.010259
26,44,54,43,em-cdd7690ef318,京都コーラマン,fire_water,MZR,59,5959,2800,4,1ターンの間、自身にダメージを96%軽減するシールドを与える,advantage_creation,72,0.3889,0.2896,1,1,1,0.1187,0.7893,0.1464,0.1111,0,0.8581,0.009795
27,63,55,45,em-f3861e35df6f,暗黒王まはーかーらん,fire_water,ZR,47,3731,3926,4,水属性の敵全員の攻撃カウントを2増加させる,ignored,72,0.3611,0.2638,0,1,1,0.1319,0.7745,0.1483,0,0,0.9333,0.009699
28,31,56,30,em-f49b19428b58,ちび丸のハロウィン,fire_water,CR,17,255,2896,4,死亡している水属性の味方全員を30%のHPで蘇らせる,advantage_creation,72,0.375,0.2747,1,1,1,0.1576,0.8157,0.1796,0.2361,0,0.9736,0.012261
29,49,57,50,em-c87499b64151,ラパヌイ先生,fire_water,MZR,45,6441,3067,4,6ターンの間、攻撃を自身に集中させる(50%カット),advantage_creation,72,0.3819,0.286,1,1,1,0.1238,0.7464,0.149,0.0556,0,0.8501,0.00913
30,34,58,38,em-9cbbb04818bd,シミ,all,ZR,20,1704,2215,4,味方全員のHPを200%回復する,advantage_creation,72,0.4028,0.3009,1,1,1,0.1422,0.7516,0.1713,0.2222,0,0.9288,0.010503
31,40,59,48,em-d0639c20e6b1,ユーコ☆宇宙,all,MZR,24,4260,2556,4,死亡している風属性の味方全員を25%のHPで蘇らせる,advantage_creation,72,0.375,0.2805,1,1,1,0.1283,0.8195,0.1471,0.125,0,0.8447,0.009292
32,64,1,7,em-14d31235a3f8,かっちゃんのBIG強飯,fire_wind,ZR,48,3067,4601,4,2ターンの間、味方全員の攻撃力を120%増加させる,counteraction,72,0.3264,0.2394,1,1,1,0.0581,0.7885,0.0729,0,0.5,0.9257,0.020162
33,65,17,21,em-8527b3dd869a,帰って来たいぬやマン,fire_water,R,21,1661,1661,4,1ターンの間、味方全員の攻撃力を150%増加させる,counteraction,72,0.4028,0.3046,1,1,1,0.1426,0.7554,0.1632,0,0.125,0.9891,0.014195
34,45,60,40,em-e51e56c23fa1,上級国民ロヴィーサ,all,ZR,44,2832,2984,4,4ターンの間、火属性の攻撃を自身に集中させる(80%カット),advantage_creation,72,0.3681,0.2673,1,1,1,0.1139,0.736,0.1415,0.1111,0,0.9226,0.010271
35,66,30,92,em-a5e1e009bda8,くまのたん伝説,fire,伝,80,8861,8179,5,1ターンの間、自身の攻撃力を1000%増加させる,counteraction,72,0.4375,0.3369,0.9167,0.6944,1,0.1272,0.7715,0.1593,0,0.0556,0.33,0.003845
36,67,61,59,em-981bf693e8c3,メガネパンダ系の何か,fire,CR,19,2576,2415,6,味方全員のスキルカウントを3減少させる,ignored,72,0.3819,0.2822,0,0.4306,1,0.1259,0.7269,0.1508,0,0,0.9683,0.008188
37,41,62,39,em-d74e6be8b4b9,クビキリギス,fire,ZR,40,3800,3544,4,2ターンの間、自身にダメージを90%軽減するシールドを与える,advantage_creation,72,0.3403,0.2437,1,1,1,0.1179,0.7412,0.1373,0.125,0,0.9178,0.010447
38,68,2,13,em-83399e4df86b,必罰のエルフ,fire,CR,18,2093,3281,4,1ターンの間、火属性の敵に対する味方全員の攻撃力を120%増加させる,counteraction,72,0.3472,0.253,1,1,1,0.0995,0.7653,0.1171,0,0.375,0.9669,0.017126
39,21,63,37,em-3e1bbfb34a76,芳一大師匠,fire,N,14,1128,1269,4,死亡している火属性の味方全員を20%のHPで蘇らせる,advantage_creation,72,0.3819,0.2803,1,1,1,0.1327,0.8136,0.1572,0.3611,0,0.9921,0.01096
40,69,64,73,em-21f078527946,マノすん博士,fire,MZR,40,4771,3408,7,火属性の敵全員の攻撃カウントを6増加させる,ignored,72,0.3472,0.2435,0,0.1667,1,0.1278,0.7094,0.1557,0,0,0.8195,0.006313
41,36,65,56,em-cb0ef748882f,八狗神伏姫様,fire,MZR,35,5538,2130,4,3ターンの間、攻撃を自身に集中させる(65%カット),advantage_creation,72,0.3611,0.26,1,1,1,0.1411,0.754,0.166,0.2083,0,0.8166,0.008322
42,70,66,68,em-a20c59ca87c1,Let's☆ハチ公,fire_water,ZR,33,6560,1448,5,敵全員の攻撃カウントを2増加させる,ignored,72,0.3958,0.288,0,0.7778,1,0.1492,0.6787,0.1801,0,0,0.9096,0.006712
43,46,67,55,em-ad82a61bcc2a,ｺﾄﾖﾛ!巳ーちゃん様,all,MZR,55,6901,3451,4,2ターンの間、味方全員にダメージを66%軽減するシールドを与える,advantage_creation,72,0.3333,0.2326,1,1,1,0.1127,0.7386,0.1383,0.1111,0,0.8107,0.008438
44,71,3,24,em-68c24ce7bf95,女帝！カるたーニャ,fire,MZR,40,3408,3408,4,1ターンの間、火属性の味方全員の攻撃力を300%増加させる,counteraction,72,0.3264,0.2331,1,1,1,0.0931,0.7699,0.1137,0,0.3333,0.8077,0.013375
45,1,68,36,em-378cec222ec5,熱ぅい！地獄雀,fire,ZR,45,5964,3408,5,死亡している火属性の味方全員を100%のHPで蘇らせる,advantage_creation,72,0.5417,0.4342,0.8889,0.8194,1,0.3381,0.823,0.3648,0.8472,0,0.9046,0.011028
46,72,29,47,em-7d756ba8373e,謹賀新年のびゃこ,fire_wind,MZR,47,2300,6219,4,3ターンの間、水属性の敵に対する自身の攻撃力を999%増加させる,counteraction,72,0.3125,0.2249,0.7917,1,1,0.0846,0.7365,0.0989,0,0.0694,0.8017,0.009327
47,73,69,85,em-27802083d7f5,チュニスさん,fire_wind,MZR,50,5964,3919,4,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.3194,0.22,0,1,1,0.09,0.7082,0.1154,0,0,0.7987,0.005293
48,74,34,54,em-698af6462642,反魂タン昼食TIME,fire,ZR,32,3067,5623,4,2ターンの間、風属性の敵に対する自身の攻撃力を800%増加させる,counteraction,72,0.3542,0.2564,0.7083,1,1,0.1079,0.7315,0.1285,0,0.0139,0.8994,0.008528
49,75,70,75,em-c08850a0aec0,いなば☆うわぁああ！,fire,CR,20,2579,3220,4,火属性の味方全員のスキルカウントを2減少させる,ignored,72,0.3264,0.2331,0,1,1,0.0858,0.7422,0.1055,0,0,0.959,0.006064
50,2,71,95,em-962f1faafed7,三貴子アマテラス,fire_water,伝,75,10309,5112,5,死亡している味方全員を20%のHPで蘇らせる,advantage_creation,72,0.5,0.3903,0.9306,0.7361,1,0.2817,0.8446,0.3099,0.6944,0,0.2942,0.003432
51,76,25,44,em-572c57cf5e18,湘南大水曜日ボーイ,fire,MZR,28,2044,5623,4,2ターンの間、水属性の味方全員の攻撃力を200%増加させる,counteraction,72,0.3611,0.2657,0.6389,1,1,0.0928,0.7819,0.1153,0,0.0833,0.7863,0.009739
52,47,72,77,em-ffdcaffc4a41,雑煮入り☆うるっしー,all,ZR,36,3443,3443,4,2ターンの間、攻撃を自身に集中させる(80%カット),advantage_creation,72,0.3194,0.2279,1,1,1,0.0883,0.7078,0.1075,0.0833,0,0.8923,0.006011
53,77,7,34,em-5861838d2e36,ばうあー泥棒,all,MZR,35,4771,3033,4,2ターンの間、火属性の敵に対する自身の攻撃力を1780%増加させる,counteraction,72,0.3125,0.2167,1,1,1,0.1109,0.7276,0.1326,0,0.25,0.78,0.011373
54,78,18,35,em-294f61da0084,Ｃ・Ｃ☆電車姫,fire_water,CR,22,3741,1973,4,3ターンの間、自身の攻撃力を200%増加させる,counteraction,72,0.3264,0.2351,1,1,1,0.0562,0.7809,0.0763,0,0.125,0.9552,0.01103
55,32,73,66,em-271fbedbbf39,レオ,fire_wind,CR,22,2737,2093,4,1ターンの間、味方全員にダメージを80%軽減するシールドを与える,advantage_creation,72,0.3125,0.2187,1,1,1,0.0794,0.7192,0.0998,0.2361,0,0.9544,0.007186
56,42,74,74,em-3ba3c1cd24cc,P.O☆うるっしー,fire,CR,25,3220,1449,4,2ターンの間、攻撃を自身に集中させる(70%カット),advantage_creation,72,0.3264,0.2292,1,1,1,0.1092,0.6968,0.135,0.125,0,0.9536,0.006204
57,14,75,63,em-78c7d71a75d2,美音三銃士を連れてきたよ,all,ZR,50,6475,3748,5,死亡している味方全員を20%のHPで甦らせる,advantage_creation,72,0.4792,0.3758,0.8333,0.6944,1,0.2207,0.8334,0.2472,0.5417,0,0.8831,0.007874
58,79,15,32,em-ad0fa41f1980,輝け！叡智通,fire,N,12,1102,1300,4,1ターンの間、火属性の味方全員の攻撃力を110%増加させる,counteraction,72,0.3194,0.2279,1,1,1,0.1047,0.7387,0.1199,0,0.1528,0.9873,0.011658
