総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,55,11,2,em-5d696ecc61dd,カミキリ,fire,ZR,75,5845,6134,1,8ターンの間、火属性の敵に対する火属性の味方全員の攻撃力を20%増加させる,counteraction,72,0.5556,0.4467,1,1,1,0.0841,0.9346,0.1221,0,0.4306,0.97,0.027086
2,56,16,41,em-ceda64319ca1,蜜香のウミリンゴ,fire_water,伝,75,8520,5453,1,5ターンの間、風属性の敵に対する味方全員の攻撃力を25%増加させる,counteraction,72,0.5347,0.4297,0.9722,1,1,0.0837,0.9216,0.118,0,0.3333,0.3981,0.010164
3,17,48,55,em-d7873747b412,藤のフヒッティ,fire_water,伝,75,10735,3578,1,3ターンの間、自身にダメージを30%軽減するシールドを与える,advantage_creation,72,0.5903,0.4818,1,1,1,0.1041,0.928,0.1482,0.4028,0,0.3962,0.008214
4,26,49,9,em-563e34211286,大抵カールのせい,fire_water,MZR,50,4686,5112,1,1ターンの間、味方全員にダメージを20%軽減するシールドを与える,advantage_creation,72,0.5417,0.4342,1,1,1,0.1017,0.9292,0.1453,0.3194,0,0.9129,0.018592
5,25,50,62,em-bdcce3725e8b,修験鬼ギュウちゃん,fire,伝,85,9372,5453,1,1ターンの間、味方全員に水属性の敵からのダメージを44%軽減するシールドを与える,advantage_creation,72,0.5486,0.4404,0.9444,1,1,0.0792,0.9303,0.1158,0.3333,0,0.3924,0.007649
6,57,51,16,em-682cda3863fb,脱力コンビあろま＆るる,all,MZR,48,3067,5623,2,リーダーのスキルカウントを1減少させる,ignored,72,0.4375,0.3297,0,0.3056,1,0.0586,0.8939,0.0854,0,0,0.9082,0.015133
7,58,52,19,em-3e7e7e54a83d,妖精女王ミカーンニア,fire,MZR,45,3408,4771,2,風属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4583,0.3508,0,0.3194,1,0.0651,0.9072,0.0937,0,0,0.9058,0.014598
8,59,53,21,em-3e2d46063b3e,なっとくん様,all,MZR,70,8026,4618,1,リーダーのスキルカウントを1減少させる,ignored,72,0.4514,0.3467,0,1,1,0.0605,0.9158,0.088,0,0,0.9034,0.014149
9,60,1,1,em-52b1a63b86dd,ヤマさんヤミーさん,fire,CR,27,1288,3220,1,5ターンの間、火属性の敵に対する味方全員の攻撃力を23%増加させる,counteraction,72,0.5556,0.4502,1,1,1,0.0821,0.9425,0.1188,0,0.9861,0.9854,0.028754
10,34,17,7,em-7a57f923ab2c,ありえんキャット様,fire_wind,MZR,61,6069,5622,1,1ターンの間、自身の属性を火属性に変更する,adaptive,72,0.4792,0.3758,0.9583,1,1,0.0569,0.92,0.0835,0.25,0.3194,0.8986,0.019008
11,61,21,6,em-93bcb3ddcb90,蝦夷の鬼武者,fire,MZR,50,5367,4771,1,6ターンの間、火属性の敵に対する自身の攻撃力を50%増加させる,counteraction,72,0.4861,0.3748,1,1,1,0.0692,0.9035,0.1019,0,0.2639,0.8961,0.019083
12,29,22,63,em-daac43f51729,四悪妖・鵺,all,伝,88,9542,5964,1,1ターンの間、自身の属性を水属性に変更する,adaptive,72,0.4514,0.3432,1,1,1,0.0636,0.9032,0.0914,0.2917,0.2639,0.3786,0.007529
13,35,54,20,em-4d47f8a702ed,モヘン女ダロぉ,fire,MZR,47,3374,6202,1,2ターンの間、味方全員に風属性の敵からのダメージを36%軽減するシールドを与える,advantage_creation,72,0.4583,0.3508,0.9167,1,1,0.0557,0.9184,0.0819,0.25,0,0.8912,0.01453
14,1,55,11,em-759ef91c7c65,古の灰かぶりロドピス,fire,MZR,47,4175,3578,1,1ターンの間、火属性の味方全員にダメージを33%軽減するシールドを与える,advantage_creation,72,0.5278,0.4166,1,1,1,0.0982,0.9149,0.1385,0.9306,0,0.8887,0.01745
15,62,56,28,em-e15fbf6ecd0c,シャーロック&エッジュ,fire_wind,ZR,41,4260,5112,2,水属性の味方全員のスキルカウントを1減少させる,ignored,72,0.375,0.2711,0,0.4028,1,0.054,0.8805,0.0776,0,0,0.9508,0.012992
16,63,57,32,em-433922ef3e4e,夏至祭のぺた也君,fire_water,ZR,53,7266,2153,2,風属性の味方全員のスキルカウントを2減少させる,ignored,72,0.4583,0.3508,0,0.2778,1,0.07,0.8992,0.1013,0,0,0.9494,0.012408
17,5,58,14,em-cc1dd429dace,?????,fire_water,MZR,58,4171,4737,1,1ターンの間、味方全員に火属性の敵からのダメージを40%軽減するシールドを与える,advantage_creation,72,0.4792,0.3688,1,1,1,0.0829,0.9157,0.1188,0.6806,0,0.8812,0.015857
18,2,59,15,em-2a20d82018a7,強飯式太子君,fire_water,MZR,43,4771,3408,1,火属性の味方全員のHPを40%回復する,advantage_creation,72,0.5069,0.3982,1,1,1,0.0959,0.9219,0.1349,0.9028,0,0.8787,0.015691
19,36,60,26,em-ee43bce0e25f,vにゅーさん,all,MZR,51,3567,5271,1,5ターンの間、自身にダメージを35%軽減するシールドを与える,advantage_creation,72,0.4375,0.3297,1,1,1,0.0609,0.8977,0.0892,0.25,0,0.8762,0.013282
20,64,23,18,em-f5955c15b029,ばんば新年2026,all,MZR,60,7668,3438,1,2ターンの間、風属性の敵に対する自身の攻撃力を120%増加させる,counteraction,72,0.5069,0.3982,0.9167,1,1,0.069,0.9054,0.0992,0,0.2361,0.8736,0.014644
