総合順位,有利獲得順位,対抗順位,予測使用順位,ID,名前,属性,レア度,コスト,HP,Power,スキルターン,スキル名,行動区分,評価盤面数,予測勝率,勝率信頼下限,実発動率,登場時発動可能率,盤面充足率,味方維持率,敵進行率,攻守均衡,有利獲得/盤面,対抗/盤面,推定所持率,予測使用率
1,3,53,3,em-6cd949ff7539,?????,fire_water,MZR,53,1842,6475,2,1ターンの間、攻撃を自身に集中させる(92%カット),advantage_creation,72,0.5556,0.452,1,1,1,0.1148,0.9195,0.1588,0.7361,0,0.92,0.020597
2,10,54,6,em-667dae45fa9f,怪童の金たろす,wind,MZR,52,6049,6049,2,3ターンの間、自身にダメージを50%軽減するシールドを与える,advantage_creation,72,0.5139,0.4026,1,1,1,0.1207,0.8957,0.1666,0.5,0,0.9177,0.01953
3,49,49,12,em-0984e8e9ee06,加賀のカブキ者,all,MZR,60,4430,6816,2,1ターンの間、自身の攻撃力を350%増加させる,counteraction,72,0.4931,0.3843,1,1,1,0.0944,0.9012,0.1323,0,0.125,0.9153,0.015781
4,50,48,15,em-00b4dc762ce0,ハクさんはファイター,wind,MZR,50,3890,5112,2,1ターンの間、味方全員の攻撃力を66%増加させる,counteraction,72,0.5278,0.4183,1,1,1,0.1141,0.9037,0.1565,0,0.1389,0.9129,0.015184
5,1,55,2,em-62994b487456,浪漫歌人♪晶子さん,fire,CR,25,3059,3059,2,死亡している風属性の味方全員を15%のHPで蘇らせる,advantage_creation,72,0.5833,0.4754,0.9722,1,1,0.1626,0.9208,0.2136,0.9028,0,0.9877,0.020666
6,51,31,7,em-2c691fe63d0d,ブッシュドノエルん,fire_wind,ZR,38,3652,5354,2,1ターンの間、リーダーの攻撃力を250%増加させる,counteraction,72,0.5139,0.4026,1,1,1,0.1221,0.8988,0.1649,0,0.25,0.9633,0.0178
7,52,56,19,em-d7aa913cd61c,チョーカーちゃん,wind,CR,18,805,3935,3,水属性の味方全員のスキルカウントを3減少させる,ignored,72,0.5139,0.406,0,0.5278,1,0.0832,0.9027,0.1172,0,0,0.9865,0.014752
8,35,20,59,em-e0ae1e287b90,春のお兄さん,wind,伝,80,9202,5793,2,3ターンの間、自身の属性を火属性に変更する,adaptive,72,0.5,0.3921,0.9861,1,1,0.1,0.886,0.136,0.2083,0.2917,0.3865,0.008424
9,26,57,84,em-b2d6a846bb36,哀哭のオオウミガラス,fire_wind,伝,75,9713,4941,2,5ターンの間、味方全員に火属性の敵からのダメージを25%軽減するシールドを与える,advantage_creation,72,0.5139,0.4078,1,1,1,0.1104,0.9211,0.1522,0.3333,0,0.3846,0.005681
10,53,44,22,em-7f5fe06d82f7,特攻のびゃこ,wind,MZR,39,2641,6219,2,1ターンの間、火属性の敵に対する自身の攻撃力を999%増加させる,counteraction,72,0.4861,0.3765,0.9722,1,1,0.0915,0.9032,0.1298,0,0.1667,0.8986,0.013612
11,34,58,20,em-47c29240fd33,大晦日のネギそば給仕少女,water_wind,MZR,40,3834,3834,2,2ターンの間、攻撃を自身に集中させる(60%カット),advantage_creation,72,0.5417,0.4342,1,1,1,0.1092,0.9069,0.1512,0.2222,0,0.8961,0.014353
12,54,59,27,em-06a3d28ae15f,オオガラッパ,wind,ZR,36,3783,4771,2,風属性の味方全員のスキルカウントを1減少させる,ignored,72,0.4792,0.3671,0,1,1,0.1012,0.884,0.1376,0,0,0.9551,0.012833
13,29,17,9,em-192a5247d83c,マサムネーダー,wind,MZR,32,3919,5112,2,1ターンの間、味方全員の属性を火属性に変更する,adaptive,72,0.5139,0.406,0.9861,1,1,0.0995,0.8984,0.1385,0.3194,0.3333,0.8912,0.017404
14,8,60,18,em-a11a3441fd8e,レンネルアルケニー,fire_wind,MZR,43,2896,3919,2,1ターンの間、味方全員にダメージを60%軽減するシールドを与える,advantage_creation,72,0.5347,0.4297,1,1,1,0.1187,0.9239,0.1624,0.5833,0,0.8887,0.014946
15,55,46,23,em-3c2628783368,すまぁとヤスマサニキ,fire,MZR,50,4260,5623,2,2ターンの間、水属性の味方全員の攻撃力を100%増加させる,counteraction,72,0.5347,0.4262,0.7917,1,1,0.1054,0.9104,0.1448,0,0.1528,0.8862,0.013284
16,56,26,17,em-7c8471edf1df,ハロハロ☆ナモミさま,water_wind,ZR,36,2556,4260,2,1ターンの間、自身の攻撃力を200%増加させる,counteraction,72,0.5208,0.4157,1,1,1,0.0964,0.9028,0.1345,0,0.2639,0.9494,0.015041
17,57,45,33,em-bffb26ad3975,アイヌ☆らっくるん,fire_water,MZR,60,2896,6645,2,1ターンの間、風属性の敵に対する味方全員の攻撃力を170%増加させる,counteraction,72,0.4583,0.3491,0.9861,1,1,0.0996,0.8891,0.1376,0,0.1667,0.8812,0.011601
18,58,8,5,em-4206205a0bb1,リュウ・ツカイ,fire,MZR,60,5708,4515,2,3ターンの間、自身の攻撃力を130%増加させる,counteraction,72,0.5139,0.4043,1,1,1,0.1024,0.8944,0.1434,0,0.4167,0.8787,0.019784
